desk_id,status,campaign
I0001,Occupied,sterling
I0002,Vacant,sterling
I0003,Vacant,sterling
I0004,Occupied,sterling
I0005,Occupied,sterling
I0006,Occupied,sterling
I0007,Occupied,sterling
I0008,Occupied,sterling
I0009,Occupied,sterling
I0010,Occupied,sterling
I0011,Occupied,sterling
I0012,Occupied,sterling
I0013,Occupied,sterling
I0014,Occupied,sterling
I0015,Occupied,sterling
I0016,Occupied,sterling
I0017,Occupied,sterling
I0018,Occupied,sterling
I0019,Occupied,sterling
I0020,Occupied,sterling
I0021,Occupied,sterling
I0022,Occupied,sterling
I0023,Occupied,sterling
I0024,Occupied,sterling
I0025,Vacant,sterling
I0026,Occupied,sterling
I0027,Occupied,sterling
I0028,Occupied,sterling
I0029,Occupied,sterling
I0030,Occupied,sterling
I0031,Occupied,sterling
I0032,Occupied,sterling
I0033,Occupied,sterling
I0034,Occupied,sterling
I0035,Occupied,sterling
I0036,Occupied,sterling
I0037,Occupied,sterling
I0038,Occupied,sterling
I0039,Occupied,sterling
I0040,Occupied,sterling
I0041,Occupied,sterling
I0042,Occupied,sterling
I0043,Occupied,sterling
I0044,Occupied,sterling
I0045,Occupied,sterling
I0046,Occupied,sterling
I0047,Occupied,sterling
I0048,Occupied,sterling
I0049,Vacant,sterling
I0050,Occupied,sterling
I0051,Occupied,sterling
I0052,Occupied,sterling
I0053,Occupied,sterling
I0054,Occupied,sterling
I0055,Occupied,sterling
I0056,Occupied,sterling
I0057,Occupied,sterling
I0058,Occupied,sterling
I0059,Occupied,sterling
I0060,Occupied,sterling
I0061,Vacant,sterling
I0062,Occupied,sterling
I0063,Vacant,sterling
I0064,Occupied,sterling
I0065,Occupied,sterling
I0066,Occupied,sterling
I0067,Occupied,sterling
I0068,Occupied,sterling
I0069,Occupied,sterling
I0070,Occupied,sterling
I0071,Vacant,sterling
I0072,Occupied,sterling
I0073,Occupied,sterling